0xADF95DF6, blackops4menu
0xD008AFC4, accountmenu
0x9AA832B, maxweaponlevels
0xA0CA4750, unlockallcamos
0x25395CCF, unlockachievements
0xD74DBBCE, lvl50
0x8405BCF6, lvl1000
0xC987B373, allplayersmenu
0xCE54A75A, launchallplayers
0x3CA01C42, kickallplayers
0x643F01A8, disableshooting
0x2C73F64A, disablesliding
0x6637836, freezecontrols
0x9F8AA69C, mortarstrikeall
0x32490890, addbotstogame
0x2B005325, buystation
0x42E2687C, jetpack
0xBF3F23B0, recoilreducer
0xE10B909A, increasedbulletdamage
0x14EDF954, buydoubletap
0x7EC57290, doubletap
0xFA080148, buyattackdog
0xB945BA64, speedcola
0x8B433938, juggernog
0x2434C771, staminup
0xC9306E7D, charactermenu
0x5EA4CDD1, init_characters
0x897E0250, init_outfits
0xF79D5DD1, setcharacter
0xF840A08, setoutfit
0x2F596A8E, cheatmenu
0x2442915, customizationmenu
0xEC463E8B, enablebriefcase
0x53825DCE, soundeffects
0x6DA00A54, enablemenublur
0x44B597EA, setscrollericon
0xF2CE4F0E, setprimarycolor
0x1AB21CA5, setsecondarycolor
0x293FEF72, soundeffect
0xBDAD4762, initcustomzombies
0xB90C8D1B, startcountdown
0xCD1E5EEE, createhuds
0x4342BD04, startround
0x2B55F404, spawnzombies
0x40087142, calculatezombiesperround
0x9C668577, spawnnewzombie
0x46A7D654, getsafespawnposition
0xFE61C61D, monitorzombie
0xBC6A564D, respawnzombienearplayer
0xC0D8C18D, startfallinganimation
0xA1700584, stopfallinganimation
0xF0011D7D, zombieeyecolor
0xD0B1D979, spawnhellhounds
0x1D579726, spawnnewhellhound
0x59F9DADC, tryspawnbrutus
0x6E44F3C3, spawnbrutus
0xDE3DFA8D, playersettings
0xA624E429, regeneratehealth
0xB77D09B5, monitormysterybox
0x28F7386F, givemysteryboxweapon
0xAE0EC980, setupmysterybox
0xFC9E6391, playzombiescreams
0x707DBBB9, forgemenu
0x988BBB0E, initmodels
0xE22AE9B3, spawnmodel
0xB55A15A3, spawnmodelfromhash
0x8F0541C1, getlookposition
0x2CC8893E, getlooktrace
0x59AF21AE, spawndroptower
0x123B6796, spawnmerrygoround
0x98EF2E42, monitorjumptoexit
0x93A2D786, buildcentralstructure
0xDC24D63F, spawnskybase
0x9DAEE817, moveelevator
0xFF3AA08A, adsmodelprint
0x974BA4C1, startmodelprint
0xA3919997, spawnwall
0xDF3EB80F, setgametypesettings
0x69E19475, setupitemsettings
0x16FCCE63, blackout
0x74D3AE0C, zombies
0x1E3519DF, multiplayer
0xF5170803, changemap
0x67C0309B, changemode
0x80273A9F, restartmap
0x9CE63ABB, currentmapname
0x89F2DF9, __init__system__
0xAD5512EB, __init__
0x112A0991, setupgamesettings
0x9284135D, init
0x5B7F4419, onplayerconnect
0x64495C7, onplayerspawned
0x92E1D317, monitordeath
0xED63B2AB, initializemenu
0x94EAACF7, runmenu
0xE2B9BB3D, refreshmenudisplay
0xFDEF0BE1, callfunction
0x895C907, selectoption
0xFB6AE1C7, monitormenuinput
0x94C16F04, createmenu
0xDD147FA0, addtoggleoption
0x33440367, togglebooloption
0xA390ADCB, addoption
0x345D3721, setupmenu
0x6614D0, opensubmenu
0x19CF4771, closemenu
0x44A4BA1F, goback
0x23B899C2, personalmenu
0xC8BC0BF3, zombiemannequin
0x6F7B95E8, enemyai
0xA849BD12, rainbowcamo
0x576830B, disablehud
0xCE55A67D, enablefirevision
0x5AC70EEE, settoplayer
0x45490BB0, godmode
0xF5718D68, clone
0x4251C9C6, hideweapon
0x4CB6FC95, rainingrockets
0xE97D64F5, promod
0x4EED70D3, startrainingrockets
0x8068D183, rainingraygun
0xB41EF643, startrainingraygun
0x9E13FEA5, mortarstrike
0x81C7EEC2, infiniteuav
0xBBECD2C3, walkoutofbounds
0xFB12546B, unlimitedammo
0xDE97DCCA, startunfairaimbot
0xD4E8F83E, unfairaimbot
0x96E7B2AD, thirdperson
0x9D45C57F, autodropshot
0x9202087E, rapidfire
0x5BFFC62E, launchplayer
0xD5ADBCA, deadopsarcade
0xD267CF4E, startteleportgun
0xAB59532, doteleportgun
0xCC451473, vector_scal
0xC5677E94, doearthquake
0x43EB38EF, printposition
0xB98222AC, initrollthedice
0xB951A027, startrollthedice
0x479192C9, startfunction
0x4CBB373E, resetspawnvars
0x9A2F4F5C, doiceskating
0x95C66F5C, doraygun
0x1110D68E, meteorshower
0xBF8D86FA, birdseyeview
0xBA9BE778, firevision
0xF5FF8BE0, dothirdperson
0xC1B99EC3, obesewalk
0x33766902, doanticamp
0xEE07AB8B, dorapidfire
0x7935C422, dojuggernaut
0xCCA2DFC, dogodmode
0x63E910B7, camperpro
0xA94216B8, bouncemode
0x73AA4B80, drunkmovement
0xC9473C38, ismoving
0xA181E108, isonground
0x654E11BD, servermenu
0x96DBF96C, endgame
0xBAC7C504, superjump
0xDF2FE236, allsuperjump
0x94552BF0, superspeed
0x77FBF68, killsareheadshots
0x694AC1A3, lowgravity
0xB87F02C3, floatingbodies
0xD4A3A745, antiquit
0x7BE1294B, menuhuds
0xF4AFDE77, scrollingtexthud
0xB4BAF3A4, updateroundhud
0x4D681A1F, moveroundhud
0xA801E135, pointshud
0x701F444F, addpointshud
0xAEC178A7, countdownhud
0x69ED3BAE, formatpoints
0x837AE3C3, clearmenuhuds
0xF5EDA08E, teleportmenu
0x401FDED2, teleport
0xAA38E00A, playerlocation
0x6135FB4A, vehiclemenu
0xB7DA7C70, init_vehicles
0x19E5AB5F, spawnvehiclemodel
